NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,15-04-0166-43,15-012,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO TURBALA, ALDEA GUATZILEP",50447994,JUANA TAPERIA PEREZ,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0167-43,15-014,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO LOS ENCUENTROS, ALDEA EL CEBOLLAL",,JOSE DOMINGO CALO CAMAJA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0169-43,15-014,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO LA ESTANCIA, ALDEA LA LAGUNA",,JOSE DOMINGO CALO CAMAJA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0170-43,15-014,BAJA VERAPAZ,CUBULCO,EORM,ALDEA EL CEBOLLAL,,JOSE DOMINGO CALO CAMAJA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0171-42,15-011,BAJA VERAPAZ,CUBULCO,EODP ANEXA A EORM,CASERIO LACANDON DE LA ALDEA PATZOCON,,SANTOS BALTAZAR CEBALLOS,---,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0172-42,15-014,BAJA VERAPAZ,CUBULCO,EODP ANEXA A EORM,"CASERIO PAPOP CHITANIL,ALDEA PATZIJON",,JOSE DOMINGO CALO CAMAJA,---,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0173-43,15-014,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO LOS PLANCITOS, ALDEA EL CEBOLLAL",,JOSE DOMINGO CALO CAMAJA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0174-43,15-013,BAJA VERAPAZ,CUBULCO,EORM,CASERIO SAN JUAN LAS VEGAS,,VALENTIN RODRIGUEZ MARQUEZ,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0175-43,15-014,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO EL CARRIZAL, ALDEA EL CEBOLLAL",,JOSE DOMINGO CALO CAMAJA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0176-43,15-014,BAJA VERAPAZ,CUBULCO,EORM,"CASERIO CHITANIL, ALDEA EL PATZIJON",45024414,JOSE DOMINGO CALO CAMAJA,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
,15-04-0177-43,15-014,BAJA VERAPAZ,CUBULCO,EORM,"CASERÍO CHUACHACUXÁ, ALDEA PATZIJÓN",44769059,JOSE DOMINGO CALO CAMAJA,GUILLERMO DOMINGO RODRÍGUEZ RAMÍREZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
