NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,14-13-0101-45,14-020,QUICHE,NEBAJ,CENTRO TECNOLOGICO IXIL,"CASERÍO VIKOLÁ, ALDEA RÍO AZUL, KILÓMETRO 313.5, CARRETERA A COTZAL",57558966,FELIX GASPAR CEDILLO CETO,JULIO FABIÁN ABAC DE LEÓN,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0102-43,14-020,QUICHE,NEBAJ,EORM,"CASERÍO BELÉN, ALDEA SAN FRANCISCO JOCOTAL",30031120,FELIX GASPAR CEDILLO CETO,GASPAR COBO COBO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0103-41,14-018,QUICHE,NEBAJ,COPB ANEXO A EORM,ALDEA XECOTZ,53804054,SANTOS REYES DE PAZ CRUZ,ELENA RAYMUNDO HERANDEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0104-41,14-018,QUICHE,NEBAJ,COPB ANEXO A EORM,"CASERIO XESUPIO, ALDEA PALOP GRANDE",49978569,SANTOS REYES DE PAZ CRUZ,ANTONIO BRITO PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0105-41,14-019,QUICHE,NEBAJ,COPB ANEXO A EORM,ALDEA SALQUIL GRANDE,31186900,FERNANDO PEDRO LOPEZ DE LEON,DOMINGO MATÓM RAMIREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0106-41,14-020,QUICHE,NEBAJ,COPB ANEXO A EORM,ALDEA NUEVA AMERICA,00000000,FELIX GASPAR CEDILLO CETO,00000,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0107-45,14-019,QUICHE,NEBAJ,"COLEGIO EVANGÉLICO MIXTO ""CANAAN""",CANTÓN SALQUILITO,45030008,FERNANDO PEDRO LOPEZ DE LEON,DOMINGO GUZMÁN DE LEÓN,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0108-42,14-019,QUICHE,NEBAJ,"COLEGIO PRIVADO MIXTO ""RAYITO DE LUZ""",CANTÓN BATZBACÁ,58688374,FERNANDO PEDRO LOPEZ DE LEON,MARÍA JACINTA PEREZ COBO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0109-43,14-049,QUICHE,NEBAJ,EORM,ALDEA BUENA VISTA SUCHUM,57831808,JACINTO GOMEZ CEDILLO,PEDRO ESTUARDO SANTIAGO CETO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
,14-13-0110-45,14-019,QUICHE,NEBAJ,"COLEGIO PRIVADO MIXTO ""JESÚS RUANO MORENO""",CANTÓN XOLACUL,30839684,FERNANDO PEDRO LOPEZ DE LEON,JESÚS BRITO RAYMUNDO,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
