NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,05-04-2574-42,05-009,ESCUINTLA,SIQUINALA,EODP ANEXA A EORM,ALDEA EL CAPULIN,54866886,ENMANUEL IVAN ESTRADA ARROYO,ANA GRISELDA ESTRADA MONZÓN,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2647-43,05-009,ESCUINTLA,SIQUINALA,EORM,PARCELAMIENTO LA CUCHILLA,,ENMANUEL IVAN ESTRADA ARROYO,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2667-42,05-009,ESCUINTLA,SIQUINALA,EODP ANEXA A EORM,PARCELAMIENTO LA CUCHILLA,,ENMANUEL IVAN ESTRADA ARROYO,,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2701-46,05-009,ESCUINTLA,SIQUINALA,INSTITUTO PRIVADO TEOLOGICO DEL SUR,"1A. AVENIDA LOTES 12 Y 13 MANZANA Q, COLONIA NUEVA ESPERANZA",78802398,ENMANUEL IVAN ESTRADA ARROYO,,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2715-42,05-009,ESCUINTLA,SIQUINALA,EODP,"7A. CALLE Y 3A, AVENIDA",57113047,ENMANUEL IVAN ESTRADA ARROYO,BLANCA MARGARITA GARCÍA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA
,05-04-2762-45,05-009,ESCUINTLA,SIQUINALA,INSTITUTO PRIVADO MIXTO TEOLOGICO DEL SUR,"1A. AVENIDA MANZANA Q, LOTES 12 Y 13, COLONIA NUEVA ESPERANZA",78802398,ENMANUEL IVAN ESTRADA ARROYO,GLADIS UBILDA MAZARIEGOS,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
,05-04-2764-42,05-009,ESCUINTLA,SIQUINALA,EODP ANEXA A EORM,ALDEA EL NISPERO,51269688,ENMANUEL IVAN ESTRADA ARROYO,HEIDY SUZETH VELIZ HERNANDEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2816-42,05-009,ESCUINTLA,SIQUINALA,INSTITUTO PRIVADO MIXTO TEOLOGICO DEL SUR 'INTERSUR',"1AV, MANZANA Q, LOTES 12 Y 13, COLONIA NUEVA ESPERANZA, SIQUINALA",78802398,ENMANUEL IVAN ESTRADA ARROYO,,PARVULOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2817-43,05-009,ESCUINTLA,SIQUINALA,INSTITUTO PRIVADO MIXTO TEOLOGICO DEL SUR 'INTERSUR',"1AV. MANZANA Q, LOTES 12 Y 13, COLONIA NUEVA ESPERANZA , SIQUINALA",78802398,ENMANUEL IVAN ESTRADA ARROYO,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
,05-04-2833-45,05-009,ESCUINTLA,SIQUINALA,INSTITUTO PRIVADO MIXTO TEOLOGICO DEL SUR,"1A. AVENIDA LOTE 12 Y 13, COLONIA NUEVA ESPERANZA",78802398,ENMANUEL IVAN ESTRADA ARROYO,GLADIS UBILDA MAZARIEGOS,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
