NA,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
,06-01-0050-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERIO SAN MATEO,56325045,IRMA YOLANDA CHACON ARROYO,AMERICA MARLENY BARRERA GONZÁLEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0051-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERIO CUILAPILLA,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0052-43,06-001,SANTA ROSA,CUILAPA,EORM,COLONIA NUESTRA SEÑORA CONSOLADORA DE CARPINELLO,50301748,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0053-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERIO CUESTA CHIQUITA,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0054-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERIO LOS LLANOS,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0055-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERIO POLVORIN ALDEA LOS ESCLAVOS,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0056-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERIO EL RETIRO,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0057-43,06-001,SANTA ROSA,CUILAPA,EORM,PARCELAMIENTO CONCEPCION,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0058-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERIO EL REPARADERO,,IRMA YOLANDA CHACON ARROYO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0059-42,06-001,SANTA ROSA,CUILAPA,EODP,PARCELAMIENTO CONCEPCION,,IRMA YOLANDA CHACON ARROYO,----,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0060-45,06-001,SANTA ROSA,CUILAPA,IEBC DE ENSEÑANZA,"ALDEA GUACAMAYAS, VILLA LAURA",,IRMA YOLANDA CHACON ARROYO,RUBIDIA GONZALEZ JIMENEZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0061-43,06-001,SANTA ROSA,CUILAPA,EORM,CASERIO GUACAMAYAS,,IRMA YOLANDA CHACON ARROYO,---,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0062-45,06-001,SANTA ROSA,CUILAPA,INEB,BARRIO LA PARROQUIA,78866044,IRMA YOLANDA CHACON ARROYO,---,BASICO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0063-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,CASERIO LAGUNA DE SAN JOSE,56410945,IRMA YOLANDA CHACON ARROYO,MEDARDO SALAZAR BOLAÑOS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0064-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA VILLA GRACIELA,,IRMA YOLANDA CHACON ARROYO,-,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0065-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,"CALLE PRINCIPAL, ALDEA EL JICARO",,IRMA YOLANDA CHACON ARROYO,-,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0066-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA NUEVA CANDELARIA,59926206,IRMA YOLANDA CHACON ARROYO,-,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0067-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA NUEVA PROVIDENCIA,45125103,IRMA YOLANDA CHACON ARROYO,-,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0068-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,"CASERÍO EL RENACIMIENTO, ALDEA LOS ESCLAVOS",50197979,IRMA YOLANDA CHACON ARROYO,-,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0069-46,06-001,SANTA ROSA,CUILAPA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,LOTIFICACION BELLA VISTA BARRIO EL CALVARIO,54089468,IRMA YOLANDA CHACON ARROYO,---,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0070-42,06-001,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,CASERIO LA MASCOTILLA,,IRMA YOLANDA CHACON ARROYO,BYRON ESTUARDO ALEGRÍA DÁVILA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0071-42,06-001,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,CASERIO EL RETIRO,58721999,IRMA YOLANDA CHACON ARROYO,YOXI JONAX HERNÁNDEZ SALAZAR,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0072-42,06-001,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,CASERIO LAS ANIMAS,56255177,IRMA YOLANDA CHACON ARROYO,ALBERJAMO NEFTALÍ HERNÁNDEZ SALAZAR,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0073-42,06-001,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,CASERIO EL REPARADERO,,IRMA YOLANDA CHACON ARROYO,---,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0074-42,06-001,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,COLONIA BELLA VISTA,,IRMA YOLANDA CHACON ARROYO,---,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0075-42,06-001,SANTA ROSA,CUILAPA,EODP,CASERIO CUILAPILLA,58707232,IRMA YOLANDA CHACON ARROYO,---,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0076-42,06-001,SANTA ROSA,CUILAPA,EODP,CASERIO EL RENACIMIENTO,,IRMA YOLANDA CHACON ARROYO,---,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0077-42,06-001,SANTA ROSA,CUILAPA,EODP,"CASERIO EL POLVORIN, ALDEA LOS ESCLAVOS",,IRMA YOLANDA CHACON ARROYO,---,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0078-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA LOS ESCLAVOS,,IRMA YOLANDA CHACON ARROYO,---,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0079-42,06-001,SANTA ROSA,CUILAPA,EODP,COLONIA BUENA VISTA,,IRMA YOLANDA CHACON ARROYO,---,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SANTA ROSA
,06-01-0080-42,06-001,SANTA ROSA,CUILAPA,EODP,CASERIO SAN JOSE LAS VEGAS,57209211,IRMA YOLANDA CHACON ARROYO,MARYORY ISABEL CUYUCH VELIS,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0081-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA NUEVA CANDELARIA,36320360,IRMA YOLANDA CHACON ARROYO,CAYETANO LÓPEZ RAMOS,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0082-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,ALDEA SAN NICOLAS,35653023,IRMA YOLANDA CHACON ARROYO,FLORIDALMA LÓPEZ RAMÍREZ DE LEMUS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0083-42,06-001,SANTA ROSA,CUILAPA,EODP ANEXA A EORM,ALDEA AGUA ZARCA,41118469,IRMA YOLANDA CHACON ARROYO,---,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0084-43,06-001,SANTA ROSA,CUILAPA,EORM,ALDEA AGUA ZARCA,59499405,IRMA YOLANDA CHACON ARROYO,---,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0085-43,06-001,SANTA ROSA,CUILAPA,EORM,"CASERIO LA LIMONADA, ALDEA EL MOLINO",,IRMA YOLANDA CHACON ARROYO,---,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0086-45,06-001,SANTA ROSA,CUILAPA,INEB DE TELESECUNDARIA,CASERÍO LOS CHILITOS,59395255,IRMA YOLANDA CHACON ARROYO,BELTER JOÉL ESQUITE PÉREZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
,06-01-0087-44,06-001,SANTA ROSA,CUILAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,BARRIO EL LLANITO 1RA CALLE ZONA 4,57498669,IRMA YOLANDA CHACON ARROYO,ROMULO BARRIENTOS MONTERROSO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,A DISTANCIA,SANTA ROSA
,06-01-0088-44,06-001,SANTA ROSA,CUILAPA,CENTRO DE EDUCACION EXTRAESCOLAR -PEAC-,BARRIO EL LLANITO 1RA CALLE ZONA 4,57498669,IRMA YOLANDA CHACON ARROYO,ROMULO BARRIENTOS MONTERROSO,PRIMARIA DE ADULTOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SANTA ROSA
